image_name,extracted_text,label
06378.png,racism,1
06481.png,"a Sei ee
pt ee 3

r= a. _ 7
er Teh HEN pe »
car washed ~",1
06293.png,"HOON KNOW NOW OlENtitransnhonia2

y »
, See

ga

Killing alltrans-neonle",1
06483.png,"one da, JONG, long aoe, there Ived a
WOMANIWHOMMMOUNNINe la GlOnmlitcis

bittTasAlmgmmeety
and REmsinstonadeN. ~Ahe ante",1
06325.png,"TL ted his salary
+h RSH 1
as

tt

Me

 

es
PMI ESTP al Ue Ht",1
06793.png,"when asked whatiidid over the
weekend

e a""
e a

  
  

, 4 be)
MN ATLA OMe

~.",1
06547.png,WCET ae eC,1
06794.png,"OUerpuns whereiatl

   

just malt til van sea mine",1
06582.png,"Ce LC

Ut |
yA

PCT RITA",1
06897.png,"HAVOUTHINK HELE AaKKWalor
todayy

SUT ee BU craliiie
ROO TETSE LUN ra reraldaninfool",1
06825.png,No text found.,1
06714.png,vote for me,0
06845.png,"UTE TENTTT LTP eo Teal Cee)

 
  

: a

~ “antifa oat UE Se Coe
crying about.the election, loving
islam{goatshaggers, butt sex,
crying. more cryingsand stuifl.”",1
06859.png,"the entire world: thg'great war killed millions

BS ""

a",1
06823.png,evenuionylosesiisisnit,1
06892.png,"Ue Oo uo to listen to the teacher in your school
and in foreign/exchange studentkeeps on erving

MC?",0
06832.png,"vO a
Shills hate him!!!
x]

       

you are fucking accelerate!",1
06781.png,No text found.,1
06749.png,No text found.,1
06712.png,"Gy
ws
E
a
=
@",1
06842.png,a ay,0
06874.png,"ach!! thats my car volkswagen cars produce

 

ore gaz than expected",1
06723.png,No text found.,1
06597.png,No text found.,1
06725.png,"open'ssinbox
=",1
06852.png,"TAC, i
Die eer ee Nea TUE CM I eU Ne? 4
Cie |

trones ant as many arms as he can buy with
RECO ea cee eee Css

MIEN CRUPRT AUT",1
06728.png,No text found.,1
06791.png,"UC aA AY

 
    

at tests came
se I F:( 41 nevative
FF",1
06875.png,"ISCUNT CEU

  

CAT Tee",1
06795.png,thatlook when youtindout ~,1
06759.png,"alikea sd tasting
mee",1
06893.png,"OQ)
ce

nofetusican fats",1
06824.png,"eee At ise mh
fat gay Mitte pride",1
06739.png,"PTA ORCA
CERT CC}

with someone from

the shallow gene pool.",1
06871.png,"abdulsyou moron! said

  

eee) Ure oat and PI

i i i | ly joe
ol ‘. = +
=a 4S -<00

Sei sae ye",1
06715.png,"theyll learn something new
’ TRS TTI",0
06584.png,"|

TaN ee",1
06752.png,(ie amish,1
06798.png,"I 4

Toston",0
06543.png,"UE E NM Ce fe CU TELS een IPI

   

, =
y DUO SOUT CT TT i)",1
06914.png,"""ia ene
wie =

yo

EU CT
AOU en OCCU

a",1
06539.png,"excuse me!

 

A AE i
PR ee",1
06873.png,"aoe no yy

     

b vi p

muslim porn deep goat",1
06593.png,No text found.,1
06847.png,matte black,1
06537.png,a TTS ae TTT CHIC,1
06541.png,No text found.,1
06579.png,Tom tmom Howto deal with black nai,1
06589.png,No text found.,1
07215.png,"- A
a Mata tt UR AO",1
07218.png,Waa Te ea ETC TES,1
07134.png,"i t

 

MOUeN AUIS UT",1
06951.png,"nh So ie va} in
se 4d

united we stand",0
06952.png,"motorcross bikes are ridden by drug
UA SCHULTE WATS eS TERT ULC
Canjeasiijelite law enforcement

    
 

  
   

vie

PUPILS
death
BSUS

LAU? AMT has:aivinterestin:.-
INOS TAROT ee
RW a OOM UC rs
im rt",1
06927.png,"this is ihe

   

nothaving any white OTT",1
07125.png,\,0
06945.png,"neatly he exnlocene
= ~ march 2019",1
06934.png,"ag

       

HELETL UY POTTY",1
07126.png,"\

ilease dont get us confused",0
07192.png,No text found.,1
07219.png,No text found.,1
07194.png,"RUNMINGUSIONE vi ie

FS RTET Ta",1
07164.png,i deliver.,0
06948.png,No text found.,1
07159.png,"when the school,shooter'finally leaves
aiid the hottest girl inclass
Fe ETC deat on LU ie

 

it's free real estate",1
07198.png,on of peace,0
06987.png,"LAY

that look yourgive) oma wid ? tik
i) A)
a a

     
  

< aij
-

Tmeane ac an",1
06973.png,No text found.,1
06985.png,"AL: average Tl is alout 70-80,
torte

    

poimtsjabove being}retardet",1
07239.png,"— aheat diaper
it",1
06931.png,"wif tile WT hate a

DF ura
gl ny",1
07135.png,No text found.,1
06937.png,"coming/soonto your neighborhood

 

300,000 islamic heathens demanting the usa change
to suit thier sick religion",1
07124.png,No text found.,1
07234.png,"thatisjenough
AOU HOF LOE",1
07238.png,No text found.,1
07236.png,No text found.,1
07193.png,Fines gon oe,1
07249.png,"e » a 7 ba
TOOLS
first pitch at .

an all-star game:",1
07258.png,"i
OUT Ce |",1
07241.png,ianmguniyteateseetnjiaiets,1
07248.png,No text found.,1
07254.png,"ee believe that if they get Killed by a woman,

theyjgo a

  
 
    

 

=.

7 SUT ee COR TH
RTT",1
07389.png,Wi yon tell the cat,0
07265.png,"USNR
ECA ee RU CTH

are move efficient",0
07269.png,No text found.,1
07431.png,No text found.,1
07436.png,"| (ithe GomarMEnt sams,

“OU Cont Heed a gum",1
07451.png,No text found.,1
07412.png,No text found.,1
07382.png,"BIESIG COMPANY'S FLEISCH-EXTRACT | iG]
Wouldn'the'the lasttime}thaseineontelused thejoventtht

¥",1
07286.png,No text found.,1
07396.png,No text found.,1
07294.png,"Ce UOC Ce

so the jew coult PUNT MUP Ele a
SOUS OTTO yo ATL ~ cn
So the jews controlyou money

SO the jews couldicontrol yourgovernment
SNOT ADEN TE OPIS ET

Soforeigners couldidestroyyourcities

sO foreigners couldirun yourcivilfand public services
SO yOu hecome aprisonerin your own homes

SO your people and raceare lost forever:",1
07419.png,"~ on this day, the;25th of march, 1920,
TURE THUR SGU CHE LU",0
07319.png,No text found.,1
07356.png,"myhushantd told mete make hima sandwich
(OCCT A COO EOE

iwouli'come hackwithasandwich",1
07354.png,is there anything more beautiful,0
07438.png,No text found.,1
07314.png,No text found.,1
07268.png,No text found.,1
07312.png,No text found.,1
07293.png,"a enn

 

Rs fg te

Pr
i soll",1
07291.png,its a piece of cake,0
07413.png,"hello! may i please
speak withjesus?

  

1 Ps
we. Hon :
Lec eS folks gonna make me break
Fi eS 4 of the ten commandments.",1
07429.png,"eT oT AMAT SUD ADOrtOn Ne
Vill ¥

     

4,

fe you TEI
7 fm the reall CHL",1
07261.png,"So you are.telling me

    

americangynsiesare
ae te TAT",1
07318.png,"SEE THE
PTA MA ELL
legals her:",1
07391.png,"racist id oe are allowed, Ci eg",1
07259.png,ee heneyginl,0
07285.png,No text found.,1
07392.png,"puice Ou HO EL os

ed
—— a Se aoe o]
Sad
| a

Taasnin am",1
07345.png,No text found.,1
07385.png,"an

“RSI ee UT

ai

» notgas the jews",1
07325.png,No text found.,1
07351.png,"TIRMSOHO

 

Stealsjall the green cards»",1
07452.png,"Goma) builtistnesirst fet
meant asteel doortor alas) sdinmhar

pA

   
 

expose)tiellic:",1
07516.png,"teachersalnightelassiakejout
yourcaleulators)",1
07689.png,No text found.,1
07698.png,"etic Ce Ie SOC L

PuMSsiirst
| aS",1
07591.png,"ie oy Th

 

as
oan Slauelonmenss)",1
07623.png,No text found.,1
07469.png,where is the criminal?,1
07694.png,Heoult elie un Vea el ia,1
07592.png,elievyiagyots are mall; = TT al,1
07463.png,"Mle

 

s

at the isis strip club",1
07824.png,No text found.,1
07612.png,"4

ny wz. P—*
f = f W7 a ZA
eons",1
07465.png,"UNUAVOUGIVE THe MWiite
manback hisigous",1
07528.png,{G INEST ADU Oreatest:,0
07632.png,Me SPATE makesjeve),1
07496.png,"this ea

 

iy TD ee",1
07692.png,No text found.,1
07693.png,No text found.,1
07618.png,SE fieathito the middle east™,1
07486.png,"what's the Tera aa ELSE ANTES
ty .

 

ERE TILIA TIUNUICLOUANE UE",1
07651.png,"SN le |
ii reeani TUTE MIMS",1
07562.png,‘restin peace,0
07539.png,"CTRL ROUTE LO

 

mn ANAT
PIA en AG",1
07628.png,"paiben pom tell your iskanie Trico, yon cammen oo om the same lame as then,

 

 

all foi then Leap hour (ite",1
07658.png,"“i CES rae PONT eT 1 aio

 

oa: ;
my answer wasiinappropriate",1
07685.png,"SUIS HIVE. Uc LUA SC
PLC LETT MOE LLL

HTS",1
07521.png,Weny (erent ment Gan CLOTTED some tiiends,1
07653.png,No text found.,1
07615.png,I Vo the iy,0
07652.png,"hanjthe CE

    

4

a
G pS

. i Vee CTT E ci",1
07481.png,No text found.,1
07649.png,"Ses 0
dition",1
07659.png,No text found.,1
07456.png,domestic wolence\2017,1
07458.png,"MET esr CSUR
j — ]
Lg
FS yi",0
07596.png,the face you makewiien one ofthose damnanes cancels your sow,1
07523.png,manicaligntlavingser,1
07645.png,"flem rep calls trump supporters
‘Just plain dumb’ & ‘racist in
CCAS on a

ef
=

Es
Es",1
07594.png,"ii you think iisjokay for

iran to havemukes, but

not okay fomlaw abiding
americansstoliiave guns

!

you might be a dumbass",1
07825.png,No text found.,1
07582.png,"when Tone MOON tie. can tien
iitalso DANAE SEER Mees

»

©",1
07561.png,No text found.,1
07634.png,"h Tea
eae my",1
07924.png,No text found.,1
08172.png,No text found.,1
07983.png,CUTTS ED,1
08175.png,"HMMS AVING YOUFATeras Ut

   

OOM TLE ag =

ff",1
07912.png,"european rats in the 15th century

/ & oe

Thy alout fC oni LL",1
08163.png,"OA) PE i nt ane
its CONSETT
OT",1
08196.png,"women|can|wear

 

you donthavestheight to banithe burka its basic democragy",1
07851.png,feeling ines i nilenrne clan,0
08234.png,"EOE Cert a) ATT ae a LESS [oto a Fe:

ee eee ren arr it ae
re a A Sn
re:",1
07935.png,ETT,0
08126.png,No text found.,1
07836.png,No text found.,1
07893.png,"wax figure
STOO CCH)",1
08134.png,mark zuckerberg,0
07895.png,Aa RUG,1
07834.png,TTS LOS ~,1
07931.png,"ee

hecamerennistians",1
08125.png,No text found.,1
08241.png,"DEUIIE ali §
(EDSGIIs Dg

SSISHOOUNGSIN aWweek

 

 

 

ineedialhigger",1
07849.png,No text found.,1
07865.png,"a LEY

 
 

loads the ISITE a CUE",1
07915.png,they're just like eggs hettenwhenjbeaten ft,1
07984.png,"OUTTA Te
Elite Sea VALI TCPICTDLLIT)",1
07968.png,No text found.,1
08267.png,No text found.,1
08219.png,"TEEN ED
TET

   

TRC
jae ae",1
08146.png,"= ee rg

pee Te ME eM

Ui

eM RI",1
08261.png,marred UE,1
08243.png,No text found.,1
08251.png,No text found.,1
08137.png,Cannibalism,1
07826.png,"AVATITME VOUT AVE Oe IY}
DOD TONG Or a fob

   

 

—

_

 

 

Houireintiad shane!",1
07956.png,"when you find out
‘there's an opening for

therole of chase",0
08176.png,"MTU
acorn

   
  

ESOT
the mueller report?

  

q",1
08275.png,‘the pimp hand strong enoug,0
08173.png,imaynothelasmart man illian,0
08164.png,"itsa eta people with
shit Ay; brains",1
07839.png,"eM

7 my WES SETA:
L. Ope TLAH IU",1
08162.png,"He,

OUAMEAL@ COtMAILG
A _",1
08259.png,oli nearimus ches,1
07852.png,"fits on tO
them attunerals",0
07916.png,"THIET I Mewer conden siiarta lat

t=

  

THEMUSIIMVOte; Matters more tothem
DrOCSAMTTIMOTTACO IS TOTS
= i 1 »",1
07926.png,"insia O Ae uenits t otamaig wo}
rere {",1
08254.png,No text found.,1
08147.png,"WOVE =
ie

  

ORT SE)",1
07965.png,No text found.,1
07853.png,"SMoas among day
ile Gan gata Dae”

 

 

is a higgerntragedy:",1
08345.png,"a

thissunte
alii

a

a

an",1
08295.png,No text found.,1
08517.png,No text found.,1
08372.png,No text found.,1
08462.png,"iInto;anothers=

 

ITT Tt ANON
MOMS A",1
08439.png,"een looking for
imines  \ 9)",1
08376.png,", Caliris from todams tomatoe
fer mie tee

c",1
08317.png,No text found.,1
08291.png,"=

= thisia TOT",1
08541.png,"when your test comes hack
Fs ere a

  

PNR Rae",1
08564.png,"WHEMVOUrTIISHWaSierds)
broken

it?

Lae

   

 

oi
me Pou
+",1
08451.png,"Wwhenyouraskiajewishiginlionher .
pra naar sce Slarts ee Nes ane “",1
08469.png,THUMM PSUPPortersiweike),1
08591.png,No text found.,1
08523.png,"CLT
Li]
Os AL CTT

 

oh Leet re
imc
Bea ct Hs",1
08569.png,No text found.,1
08423.png,No text found.,1
08395.png,"AUN CCRC Os (Oe eS etm ET)
yO} lide eigen i

hs ae) 4 I
iy : ia

a4 a
2 Nig

MR CaM es ry ls eis’

    
   

   

7 ——=—",1
08495.png,No text found.,1
08567.png,"to see hetter, asians sometime switch to fullscreen veiw",1
08297.png,No text found.,1
08524.png,No text found.,1
08294.png,"A
x are you doing there? MMe ce. oa a

s",1
08537.png,allalis watehing Wty,1
08593.png,No text found.,1
08531.png,dirty deeds done with sheen,0
08415.png,No text found.,1
08621.png,"ae

=

 

iy )

GaGa",0
08357.png,No text found.,1
08476.png,ERSTE TaN eL LL,0
08349.png,"wellthen twill be my
Tiiacn ii Btiite) | meee’",1
08375.png,No text found.,1
08613.png,"anc

rw menantminorities",1
08546.png,"Tin Mot Saniqg OM are a slat

   

ae

TTC NG LU OTA",1
08516.png,Shromunta school media coverdues 2 CaS,1
08276.png,No text found.,1
08367.png,"youmay, Kiss the bride",0
08563.png,No text found.,1
08369.png,"and just like that

 

USPS CI
PROM a ee",1
08534.png,"AOU CO Pare eo
aT go oing to SiG eI
Mn ie Som ia
- —

   

Child ahuseitisnjnecessarily Perel",1
08471.png,"p Usniiresenmnmanats
woe ame PDE
nt

 

 

Dimtismelsen one)",1
08617.png,"history teacher: 6 million jews died during wwii
me:

- a e:",1
08452.png,"OC eee a Ce
whistle

   

4

 

ay

TLE TA TT cL

Ri",1
08597.png,"Tt a ber GT CES
Ur",1
08571.png,"asian drfivers 13st
i: =",1
08957.png,"TELLING 2 OOF] wou herk ™”
of to her fis the ULCiinAtie

   

 

she was chosen",1
08624.png,"PSEC VES OER CL
an ash tray Le flown Ts]
inetey

 

me
Pe Teer Ts urs tet The
funny?",1
08719.png,"= & alton
a >",0
08657.png,"She aire a
AAA ANU

(Ninel

 

Ty:

w",1
09132.png,No text found.,1
08742.png,"Sening un economic miracles
for thenextinresitient",1
08654.png,"erhat one UTA TTA

_— a whitelitch a",1
09124.png,"youiiseenothor the
nigstarelsimilar",1
08653.png,"Asia to a aOne's ti

J e

         
 

—. })
—
=)
-",1
08691.png,PET end S Tig eS,1
08924.png,"4 Dyin ~<
wen Tt Pea

 

 

1 Dee
Party Digi =,",1
08641.png,"UE er

is kylievennersitransexual
}
)

|

—

s \ y | if
al",1
08964.png,"TL
ri OT holda
eS EE long enough

 

pes SU
BREAST",1
08627.png,"an

CLANS (OM WOU? MO",1
09126.png,"when your friend plays rap music
on the way to a kkK mia

oF

 

°¢ €
aie
Ss

  

CTRL CCU Pe",1
08671.png,"SaaS ie OMNI LeeT Cer :

  

=f

SSETESE ib Ce Ds",1
08743.png,"TOY NSE LCon COL =

ave foots i
a = i
OMMPKESS yOu ,",1
08637.png,"IKI

es SEL WE) ah
Tt ae lo ua

=a 2

ara",1
08716.png,"= we
ales bruceifontled her

nN

fA

justin eric ree aT TK
mst gal ent Se",1
08962.png,"’ - gi
POCO eS CCU IC O a etL e",1
09152.png,"Te Cats) ae

  

like,’ = uf i date
yous!a""’",0
09148.png,MMA RES Mla,1
08741.png,Ps,0
08961.png,"what was HT S
ral

   

. =
®,

Mi jews

Nl",1
08632.png,"why do you have to Pa en Ci

           

25

TR Ute] rs NH getupset?""
white guys 3 ;",1
08917.png,No text found.,1
08695.png,"4 o

\

F

=
=
=
n
re
o
a
=
=
=
Sy
ae
os
=
2
ati)
|
s
I
—
o
a
5
es

Ws",1
08934.png,"tithe foils he [ite

 

   

ACCA",1
08795.png,"when you are white
and working ih off field",1
08793.png,No text found.,1
09138.png,"N mustim in}congress-201
4 r",0
08652.png,OW) WEISEE) Musiins,1
08645.png,No text found.,1
08761.png,No text found.,1
08954.png,ry,0
08941.png,No text found.,1
08674.png,"Pd

Tene EMOTO SCO
hy NY",1
08649.png,i the world comes ih Many forms,0
08732.png,"MAY

NUISION (ESD i
@ Ae cl
a

if,

— x %
looktlike
lesbians",1
09128.png,"On ih america

 

COU these Deonle colsiier theitselues
the “haster race”",1
08937.png,racers ra,1
08693.png,"Fi
5

LUTE Tere

    

RS

needsmorebacon

aa...",1
09347.png,No text found.,1
09156.png,"Sidon its,
ne re you",1
09312.png,No text found.,1
09376.png,No text found.,1
09154.png,PACA Cee AV LUN EL TTS LHe,1
09217.png,No text found.,1
09184.png,"]
how fit ablack.guy ma Ly
ae | », - ‘",1
09352.png,No text found.,1
09368.png,"CEE

mk: ifs

  
 

D v

Peemem CII (HU eu",1
09215.png,No text found.,1
09185.png,No text found.,1
09387.png,"a AU es is

clieck outthe new Kenyan fly strip",0
09286.png,"nleaseysentlus your

=

 

y q
(W ‘

thoughts and prayers*",1
09265.png,"i)
A |

ru atlvantage LE
een UES ‘_
rand benefits ""death to thetwestts",1
09238.png,No text found.,1
09364.png,No text found.,1
09374.png,"the.war on drugs is ridiculous

Cress aC yt

 

to bomb the fuck out nit BI slims!",1
09248.png,"e
Po]
Pel
i
G
=
s
cr",1
