image_name,extracted_text,label
98726.png,"my Senseonhumoris

 

Ce B ao
so dark itpicks this",
98643.png,"Wa
Tao Ae Fr
Tey oir in",
98764.png,No text found.,
98702.png,TNO TET,
98762.png,No text found.,
98701.png,CHO GALE oTe,
98642.png,"ESA UCR POEMS LASS

aN |",
01247.png,you can‘ige racist if,
01256.png,"whenWwourdehit card
dlecliiig aun abortion

   

amit tan nm
tlie haly hack in",
01258.png,No text found.,
01269.png,eo PMH ) y,
01268.png,"(ALDET And Cancer honchne
{tine fs tihe best
1
cu
Ishi tmemauces",
01274.png,"'

""

ATED VE OUT TT tase

 

é |

Ww

taba renso",
01264.png,you're aspecial kinda nuts,
05612.png,Of alltime the most underrated,
05614.png,No text found.,
05489.png,"(CUD Sis he doesnt Ihe STIDIMESsOrS,",
05483.png,"On) thy more wile

Issel encase

     

AMINA RUN I",
05498.png,No text found.,
05617.png,"ithoughiinyoursaid netilix & chill

TONS MOREL CR TUS DIL",
05968.png,No text found.,
05931.png,"SO

  

Chupacabra in real lite?",
05978.png,"CIP ar rer ued)

-",
06195.png,No text found.,
06239.png,CANCE MET EI COON,
06197.png,ask a police officer's wife,
05914.png,No text found.,
05986.png,"jg Cece TT
ec",
05941.png,"I ar ee ‘on the scree
to'getonestheyseem Mot TaN",
05973.png,No text found.,
05942.png,"your majesty. rT
Pee CEL a)
RCM Cet",
06127.png,No text found.,
05987.png,"interracial dating

i
as

SUC Ce",
06123.png,No text found.,
06198.png,"RULE TILE SIUISSIEKITOnY
chi 2019m

constant military

 

bomb explosions!""",
06153.png,TUTTE UCL re CTh@. (1) eer,
06237.png,"when leadership says
TS UE a

    

hutit's
TCM ATT eT Cy a",
05948.png,0 (pul Up in ils amt Nell,
06218.png,EL OF <,
06158.png,"ue ee a TE
eo “es",
05936.png,"ilwas Benue, TRU eR el mt
sy agree ee",
05918.png,"i
Vy

histor

c

ath

mt

he
meas

it

 

i",
06157.png,TL ~,
05976.png,"Wile does our tthe ein)
alhandignenate hav

 

COO UCL)
and your howsejis gone",
06179.png,"METRO ee UAT um

   

FuThe goat hieaps suet)",
05943.png,"4 and Ted TER
Sel @niiaithiets ie",
06273.png,"em ce LICL sauatl

ly eet
on ei",
06135.png,ATA TIASIONM fhe care onthe,
05926.png,"ern
ANON

don tiorget t
homb forward",
06194.png,"burning things that don't
WCET CL",
05972.png,No text found.,
05938.png,Inthe|mustimiworld,
05917.png,"STENNEMNAWKING
(OMCIMAALLAS a Chair",
05928.png,"just because she weighed as much as two people,",
06125.png,"~~ fitima ask thiss™
aliulestion only once",
06231.png,"He AULT BOT LTAUTSSoEID
y P",
06175.png,WHEnSOMeONEIKONSta ENN,
05984.png,"\ yA Ice ery ee
ss OTS CTL Ce COLT Sis

URIS aad

a
—

fs
remotes Dosh with chemicals
GUOITOU loses his Sit",
06248.png,"MANTEL newt

.",
05916.png,this is my grenade so blow mefny,
06147.png,"hi Itsthe

“this isthe qur'an
islamic.sacred book",
06243.png,No text found.,
05947.png,No text found.,
06213.png,"\ dar ep sxfre,
ae

rect a a
ee TTS tee Vee -",
06387.png,ad que ris iiiled nya drone,
06359.png,"what women think theyjll do when the economyeniianses vs

;",
06352.png,"?

anditheniifasked|mom,",
06315.png,No text found.,
06329.png,No text found.,
06345.png,"SOC RATEeT Rose (CT
MSS ecUt RU Ee

 
 

(Tem CAH DAL

me al you collect

TOM TNA eM Tas oe",
06348.png,Montene COENEN,
06439.png,No text found.,
06375.png,"e have peace
4

eS",
06471.png,"Cz

 
  
 

eT Te eT)
evil White onntessors
AS

ay pS

ie

OMEN eins
arehisnarents!",
06374.png,No text found.,
06513.png,"wanda
VOUNGOMNOTOUG",
06319.png,"OOOO OT eT
to ro TY
huilding to destro}

tat",
06479.png,"whemyouvestinaliyinecomern|eontant
SEGA TREIIN a)
as).

y®@ , a
| MS UT ifrieviisie",
06458.png,COT tired of,
06412.png,No text found.,
06349.png,"they still think
) DEST

      

they still think
ima chick",
06392.png,"(ont ioral OmNs

 

many Is uy your
ANEW OUNIMONE",
06275.png,"ite ented Pn
TPA MS COLOUR",
06519.png,"moutain goaishilewhen
they hearallahiaktar,

|
hecausetheyhere
the goat fuckersjarecoming",
06482.png,"idont always make-sandwiches

es
oan A
4
%

because im nota woman",
06524.png,No text found.,
06531.png,"i don't always have
Nh balls

 

   

aT men I hay Dita aM Tay
EME NEE)

duringsnriny break and

STU OER TET Ee",
06435.png,No text found.,
06514.png,Ti Suit,
06431.png,when the employeetasks,
06534.png,STAINS TO ae IOUS,
06415.png,No text found.,
06418.png,"Ce

Cn a
et)

~o aN
et Dien, S
PP rye BN",
06291.png,No text found.,
06427.png,No text found.,
06491.png,"Pi;

| ner",
06357.png,"nt time to’Stopmthis)
| |",
06425.png,"ee Ee ade) °
problem,with,me..call me

 

CO CE RU el
then that means you don't know me well
OIE eM a",
06489.png,"‘i

   

a el IS requir

when you have shit forbrains",
06295.png,No text found.,
06378.png,racism,
06481.png,"a Sei ee
pt ee 3

r= a. _ 7
er Teh HEN pe »
car washed ~",
06293.png,"HOON KNOW NOW OlENtitransnhonia2

y »
, See

ga

Killing alltrans-neonle",
06483.png,"one da, JONG, long aoe, there Ived a
WOMANIWHOMMMOUNNINe la GlOnmlitcis

bittTasAlmgmmeety
and REmsinstonadeN. ~Ahe ante",
06325.png,"TL ted his salary
+h RSH 1
as

tt

Me

 

es
PMI ESTP al Ue Ht",
06793.png,"when asked whatiidid over the
weekend

e a""
e a

  
  

, 4 be)
MN ATLA OMe

~.",
06547.png,WCET ae eC,
06794.png,"OUerpuns whereiatl

   

just malt til van sea mine",
06582.png,"Ce LC

Ut |
yA

PCT RITA",
06897.png,"HAVOUTHINK HELE AaKKWalor
todayy

SUT ee BU craliiie
ROO TETSE LUN ra reraldaninfool",
06825.png,No text found.,
06714.png,vote for me,
06845.png,"UTE TENTTT LTP eo Teal Cee)

 
  

: a

~ “antifa oat UE Se Coe
crying about.the election, loving
islam{goatshaggers, butt sex,
crying. more cryingsand stuifl.”",
06859.png,"the entire world: thg'great war killed millions

BS ""

a",
06823.png,evenuionylosesiisisnit,
06892.png,"Ue Oo uo to listen to the teacher in your school
and in foreign/exchange studentkeeps on erving

MC?",
06832.png,"vO a
Shills hate him!!!
x]

       

you are fucking accelerate!",
06781.png,No text found.,
06749.png,No text found.,
06712.png,"Gy
ws
E
a
=
@",
06842.png,a ay,
06874.png,"ach!! thats my car volkswagen cars produce

 

ore gaz than expected",
06723.png,No text found.,
06597.png,No text found.,
06725.png,"open'ssinbox
=",
06852.png,"TAC, i
Die eer ee Nea TUE CM I eU Ne? 4
Cie |

trones ant as many arms as he can buy with
RECO ea cee eee Css

MIEN CRUPRT AUT",
06728.png,No text found.,
06791.png,"UC aA AY

 
    

at tests came
se I F:( 41 nevative
FF",
06875.png,"ISCUNT CEU

  

CAT Tee",
06795.png,thatlook when youtindout ~,
06759.png,"alikea sd tasting
mee",
06893.png,"OQ)
ce

nofetusican fats",
06824.png,"eee At ise mh
fat gay Mitte pride",
06739.png,"PTA ORCA
CERT CC}

with someone from

the shallow gene pool.",
06871.png,"abdulsyou moron! said

  

eee) Ure oat and PI

i i i | ly joe
ol ‘. = +
=a 4S -<00

Sei sae ye",
06715.png,"theyll learn something new
’ TRS TTI",
06584.png,"|

TaN ee",
06752.png,(ie amish,
06798.png,"I 4

Toston",
06543.png,"UE E NM Ce fe CU TELS een IPI

   

, =
y DUO SOUT CT TT i)",
06914.png,"""ia ene
wie =

yo

EU CT
AOU en OCCU

a",
06539.png,"excuse me!

 

A AE i
PR ee",
06873.png,"aoe no yy

     

b vi p

muslim porn deep goat",
06593.png,No text found.,
06847.png,matte black,
06537.png,a TTS ae TTT CHIC,
06541.png,No text found.,
06579.png,Tom tmom Howto deal with black nai,
06589.png,No text found.,
07215.png,"- A
a Mata tt UR AO",
07218.png,Waa Te ea ETC TES,
07134.png,"i t

 

MOUeN AUIS UT",
06951.png,"nh So ie va} in
se 4d

united we stand",
06952.png,"motorcross bikes are ridden by drug
UA SCHULTE WATS eS TERT ULC
Canjeasiijelite law enforcement

    
 

  
   

vie

PUPILS
death
BSUS

LAU? AMT has:aivinterestin:.-
INOS TAROT ee
RW a OOM UC rs
im rt",
06927.png,"this is ihe

   

nothaving any white OTT",
07125.png,\,
06945.png,"neatly he exnlocene
= ~ march 2019",
06934.png,"ag

       

HELETL UY POTTY",
07126.png,"\

ilease dont get us confused",
07192.png,No text found.,
07219.png,No text found.,
07194.png,"RUNMINGUSIONE vi ie

FS RTET Ta",
07164.png,i deliver.,
06948.png,No text found.,
07159.png,"when the school,shooter'finally leaves
aiid the hottest girl inclass
Fe ETC deat on LU ie

 

it's free real estate",
07198.png,on of peace,
06987.png,"LAY

that look yourgive) oma wid ? tik
i) A)
a a

     
  

< aij
-

Tmeane ac an",
06973.png,No text found.,
06985.png,"AL: average Tl is alout 70-80,
torte

    

poimtsjabove being}retardet",
07239.png,"— aheat diaper
it",
06931.png,"wif tile WT hate a

DF ura
gl ny",
07135.png,No text found.,
06937.png,"coming/soonto your neighborhood

 

300,000 islamic heathens demanting the usa change
to suit thier sick religion",
07124.png,No text found.,
07234.png,"thatisjenough
AOU HOF LOE",
07238.png,No text found.,
07236.png,No text found.,
07193.png,Fines gon oe,
07249.png,"e » a 7 ba
TOOLS
first pitch at .

an all-star game:",
07258.png,"i
OUT Ce |",
07241.png,ianmguniyteateseetnjiaiets,
07248.png,No text found.,
07254.png,"ee believe that if they get Killed by a woman,

theyjgo a

  
 
    

 

=.

7 SUT ee COR TH
RTT",
07389.png,Wi yon tell the cat,
07265.png,"USNR
ECA ee RU CTH

are move efficient",
07269.png,No text found.,
07431.png,No text found.,
07436.png,"| (ithe GomarMEnt sams,

“OU Cont Heed a gum",
07451.png,No text found.,
07412.png,No text found.,
07382.png,"BIESIG COMPANY'S FLEISCH-EXTRACT | iG]
Wouldn'the'the lasttime}thaseineontelused thejoventtht

¥",
07286.png,No text found.,
07396.png,No text found.,
07294.png,"Ce UOC Ce

so the jew coult PUNT MUP Ele a
SOUS OTTO yo ATL ~ cn
So the jews controlyou money

SO the jews couldicontrol yourgovernment
SNOT ADEN TE OPIS ET

Soforeigners couldidestroyyourcities

sO foreigners couldirun yourcivilfand public services
SO yOu hecome aprisonerin your own homes

SO your people and raceare lost forever:",
07419.png,"~ on this day, the;25th of march, 1920,
TURE THUR SGU CHE LU",
07319.png,No text found.,
07356.png,"myhushantd told mete make hima sandwich
(OCCT A COO EOE

iwouli'come hackwithasandwich",
07354.png,is there anything more beautiful,
07438.png,No text found.,
07314.png,No text found.,
07268.png,No text found.,
07312.png,No text found.,
07293.png,"a enn

 

Rs fg te

Pr
i soll",
07291.png,its a piece of cake,
07413.png,"hello! may i please
speak withjesus?

  

1 Ps
we. Hon :
Lec eS folks gonna make me break
Fi eS 4 of the ten commandments.",
07429.png,"eT oT AMAT SUD ADOrtOn Ne
Vill ¥

     

4,

fe you TEI
7 fm the reall CHL",
07261.png,"So you are.telling me

    

americangynsiesare
ae te TAT",
07318.png,"SEE THE
PTA MA ELL
legals her:",
07391.png,"racist id oe are allowed, Ci eg",
07259.png,ee heneyginl,
07285.png,No text found.,
07392.png,"puice Ou HO EL os

ed
—— a Se aoe o]
Sad
| a

Taasnin am",
07345.png,No text found.,
07385.png,"an

“RSI ee UT

ai

» notgas the jews",
07325.png,No text found.,
07351.png,"TIRMSOHO

 

Stealsjall the green cards»",
07452.png,"Goma) builtistnesirst fet
meant asteel doortor alas) sdinmhar

pA

   
 

expose)tiellic:",
07516.png,"teachersalnightelassiakejout
yourcaleulators)",
07689.png,No text found.,
07698.png,"etic Ce Ie SOC L

PuMSsiirst
| aS",
07591.png,"ie oy Th

 

as
oan Slauelonmenss)",
07623.png,No text found.,
07469.png,where is the criminal?,
07694.png,Heoult elie un Vea el ia,
07592.png,elievyiagyots are mall; = TT al,
07463.png,"Mle

 

s

at the isis strip club",
07824.png,No text found.,
07612.png,"4

ny wz. P—*
f = f W7 a ZA
eons",
07465.png,"UNUAVOUGIVE THe MWiite
manback hisigous",
07528.png,{G INEST ADU Oreatest:,
07632.png,Me SPATE makesjeve),
07496.png,"this ea

 

iy TD ee",
07692.png,No text found.,
07693.png,No text found.,
07618.png,SE fieathito the middle east™,
07486.png,"what's the Tera aa ELSE ANTES
ty .

 

ERE TILIA TIUNUICLOUANE UE",
07651.png,"SN le |
ii reeani TUTE MIMS",
07562.png,‘restin peace,
07539.png,"CTRL ROUTE LO

 

mn ANAT
PIA en AG",
07628.png,"paiben pom tell your iskanie Trico, yon cammen oo om the same lame as then,

 

 

all foi then Leap hour (ite",
07658.png,"“i CES rae PONT eT 1 aio

 

oa: ;
my answer wasiinappropriate",
07685.png,"SUIS HIVE. Uc LUA SC
PLC LETT MOE LLL

HTS",
07521.png,Weny (erent ment Gan CLOTTED some tiiends,
07653.png,No text found.,
07615.png,I Vo the iy,
07652.png,"hanjthe CE

    

4

a
G pS

. i Vee CTT E ci",
07481.png,No text found.,
07649.png,"Ses 0
dition",
07659.png,No text found.,
07456.png,domestic wolence\2017,
07458.png,"MET esr CSUR
j — ]
Lg
FS yi",
07596.png,the face you makewiien one ofthose damnanes cancels your sow,
07523.png,manicaligntlavingser,
07645.png,"flem rep calls trump supporters
‘Just plain dumb’ & ‘racist in
CCAS on a

ef
=

Es
Es",
07594.png,"ii you think iisjokay for

iran to havemukes, but

not okay fomlaw abiding
americansstoliiave guns

!

you might be a dumbass",
07825.png,No text found.,
07582.png,"when Tone MOON tie. can tien
iitalso DANAE SEER Mees

»

©",
07561.png,No text found.,
07634.png,"h Tea
eae my",
07924.png,No text found.,
08172.png,No text found.,
07983.png,CUTTS ED,
08175.png,"HMMS AVING YOUFATeras Ut

   

OOM TLE ag =

ff",
07912.png,"european rats in the 15th century

/ & oe

Thy alout fC oni LL",
08163.png,"OA) PE i nt ane
its CONSETT
OT",
08196.png,"women|can|wear

 

you donthavestheight to banithe burka its basic democragy",
07851.png,feeling ines i nilenrne clan,
08234.png,"EOE Cert a) ATT ae a LESS [oto a Fe:

ee eee ren arr it ae
re a A Sn
re:",
07935.png,ETT,
08126.png,No text found.,
07836.png,No text found.,
07893.png,"wax figure
STOO CCH)",
08134.png,mark zuckerberg,
07895.png,Aa RUG,
07834.png,TTS LOS ~,
07931.png,"ee

hecamerennistians",
08125.png,No text found.,
08241.png,"DEUIIE ali §
(EDSGIIs Dg

SSISHOOUNGSIN aWweek

 

 

 

ineedialhigger",
07849.png,No text found.,
07865.png,"a LEY

 
 

loads the ISITE a CUE",
07915.png,they're just like eggs hettenwhenjbeaten ft,
07984.png,"OUTTA Te
Elite Sea VALI TCPICTDLLIT)",
07968.png,No text found.,
08267.png,No text found.,
08219.png,"TEEN ED
TET

   

TRC
jae ae",
08146.png,"= ee rg

pee Te ME eM

Ui

eM RI",
08261.png,marred UE,
08243.png,No text found.,
08251.png,No text found.,
08137.png,Cannibalism,
07826.png,"AVATITME VOUT AVE Oe IY}
DOD TONG Or a fob

   

 

—

_

 

 

Houireintiad shane!",
07956.png,"when you find out
‘there's an opening for

therole of chase",
08176.png,"MTU
acorn

   
  

ESOT
the mueller report?

  

q",
08275.png,‘the pimp hand strong enoug,
08173.png,imaynothelasmart man illian,
08164.png,"itsa eta people with
shit Ay; brains",
07839.png,"eM

7 my WES SETA:
L. Ope TLAH IU",
08162.png,"He,

OUAMEAL@ COtMAILG
A _",
08259.png,oli nearimus ches,
07852.png,"fits on tO
them attunerals",
07916.png,"THIET I Mewer conden siiarta lat

t=

  

THEMUSIIMVOte; Matters more tothem
DrOCSAMTTIMOTTACO IS TOTS
= i 1 »",
07926.png,"insia O Ae uenits t otamaig wo}
rere {",
08254.png,No text found.,
08147.png,"WOVE =
ie

  

ORT SE)",
07965.png,No text found.,
07853.png,"SMoas among day
ile Gan gata Dae”

 

 

is a higgerntragedy:",
08345.png,"a

thissunte
alii

a

a

an",
08295.png,No text found.,
08517.png,No text found.,
08372.png,No text found.,
08462.png,"iInto;anothers=

 

ITT Tt ANON
MOMS A",
08439.png,"een looking for
imines  \ 9)",
08376.png,", Caliris from todams tomatoe
fer mie tee

c",
08317.png,No text found.,
08291.png,"=

= thisia TOT",
08541.png,"when your test comes hack
Fs ere a

  

PNR Rae",
08564.png,"WHEMVOUrTIISHWaSierds)
broken

it?

Lae

   

 

oi
me Pou
+",
08451.png,"Wwhenyouraskiajewishiginlionher .
pra naar sce Slarts ee Nes ane “",
08469.png,THUMM PSUPPortersiweike),
08591.png,No text found.,
08523.png,"CLT
Li]
Os AL CTT

 

oh Leet re
imc
Bea ct Hs",
08569.png,No text found.,
08423.png,No text found.,
08395.png,"AUN CCRC Os (Oe eS etm ET)
yO} lide eigen i

hs ae) 4 I
iy : ia

a4 a
2 Nig

MR CaM es ry ls eis’

    
   

   

7 ——=—",
08495.png,No text found.,
08567.png,"to see hetter, asians sometime switch to fullscreen veiw",
08297.png,No text found.,
08524.png,No text found.,
08294.png,"A
x are you doing there? MMe ce. oa a

s",
08537.png,allalis watehing Wty,
08593.png,No text found.,
08531.png,dirty deeds done with sheen,
08415.png,No text found.,
08621.png,"ae

=

 

iy )

GaGa",
08357.png,No text found.,
08476.png,ERSTE TaN eL LL,
08349.png,"wellthen twill be my
Tiiacn ii Btiite) | meee’",
08375.png,No text found.,
08613.png,"anc

rw menantminorities",
08546.png,"Tin Mot Saniqg OM are a slat

   

ae

TTC NG LU OTA",
08516.png,Shromunta school media coverdues 2 CaS,
08276.png,No text found.,
08367.png,"youmay, Kiss the bride",
08563.png,No text found.,
08369.png,"and just like that

 

USPS CI
PROM a ee",
08534.png,"AOU CO Pare eo
aT go oing to SiG eI
Mn ie Som ia
- —

   

Child ahuseitisnjnecessarily Perel",
08471.png,"p Usniiresenmnmanats
woe ame PDE
nt

 

 

Dimtismelsen one)",
08617.png,"history teacher: 6 million jews died during wwii
me:

- a e:",
08452.png,"OC eee a Ce
whistle

   

4

 

ay

TLE TA TT cL

Ri",
08597.png,"Tt a ber GT CES
Ur",
08571.png,"asian drfivers 13st
i: =",
08957.png,"TELLING 2 OOF] wou herk ™”
of to her fis the ULCiinAtie

   

 

she was chosen",
08624.png,"PSEC VES OER CL
an ash tray Le flown Ts]
inetey

 

me
Pe Teer Ts urs tet The
funny?",
08719.png,"= & alton
a >",
08657.png,"She aire a
AAA ANU

(Ninel

 

Ty:

w",
09132.png,No text found.,
08742.png,"Sening un economic miracles
for thenextinresitient",
08654.png,"erhat one UTA TTA

_— a whitelitch a",
09124.png,"youiiseenothor the
nigstarelsimilar",
08653.png,"Asia to a aOne's ti

J e

         
 

—. })
—
=)
-",
08691.png,PET end S Tig eS,
08924.png,"4 Dyin ~<
wen Tt Pea

 

 

1 Dee
Party Digi =,",
08641.png,"UE er

is kylievennersitransexual
}
)

|

—

s \ y | if
al",
08964.png,"TL
ri OT holda
eS EE long enough

 

pes SU
BREAST",
08627.png,"an

CLANS (OM WOU? MO",
09126.png,"when your friend plays rap music
on the way to a kkK mia

oF

 

°¢ €
aie
Ss

  

CTRL CCU Pe",
08671.png,"SaaS ie OMNI LeeT Cer :

  

=f

SSETESE ib Ce Ds",
08743.png,"TOY NSE LCon COL =

ave foots i
a = i
OMMPKESS yOu ,",
08637.png,"IKI

es SEL WE) ah
Tt ae lo ua

=a 2

ara",
08716.png,"= we
ales bruceifontled her

nN

fA

justin eric ree aT TK
mst gal ent Se",
08962.png,"’ - gi
POCO eS CCU IC O a etL e",
09152.png,"Te Cats) ae

  

like,’ = uf i date
yous!a""’",
09148.png,MMA RES Mla,
08741.png,Ps,
08961.png,"what was HT S
ral

   

. =
®,

Mi jews

Nl",
08632.png,"why do you have to Pa en Ci

           

25

TR Ute] rs NH getupset?""
white guys 3 ;",
08917.png,No text found.,
08695.png,"4 o

\

F

=
=
=
n
re
o
a
=
=
=
Sy
ae
os
=
2
ati)
|
s
I
—
o
a
5
es

Ws",
08934.png,"tithe foils he [ite

 

   

ACCA",
08795.png,"when you are white
and working ih off field",
08793.png,No text found.,
09138.png,"N mustim in}congress-201
4 r",
08652.png,OW) WEISEE) Musiins,
08645.png,No text found.,
08761.png,No text found.,
08954.png,ry,
08941.png,No text found.,
08674.png,"Pd

Tene EMOTO SCO
hy NY",
08649.png,i the world comes ih Many forms,
08732.png,"MAY

NUISION (ESD i
@ Ae cl
a

if,

— x %
looktlike
lesbians",
09128.png,"On ih america

 

COU these Deonle colsiier theitselues
the “haster race”",
08937.png,racers ra,
08693.png,"Fi
5

LUTE Tere

    

RS

needsmorebacon

aa...",
09347.png,No text found.,
09156.png,"Sidon its,
ne re you",
09312.png,No text found.,
09376.png,No text found.,
09154.png,PACA Cee AV LUN EL TTS LHe,
09217.png,No text found.,
09184.png,"]
how fit ablack.guy ma Ly
ae | », - ‘",
09352.png,No text found.,
09368.png,"CEE

mk: ifs

  
 

D v

Peemem CII (HU eu",
09215.png,No text found.,
09185.png,No text found.,
09387.png,"a AU es is

clieck outthe new Kenyan fly strip",
09286.png,"nleaseysentlus your

=

 

y q
(W ‘

thoughts and prayers*",
09265.png,"i)
A |

ru atlvantage LE
een UES ‘_
rand benefits ""death to thetwestts",
09238.png,No text found.,
09364.png,No text found.,
09374.png,"the.war on drugs is ridiculous

Cress aC yt

 

to bomb the fuck out nit BI slims!",
09248.png,"e
Po]
Pel
i
G
=
s
cr",
09267.png,No text found.,
09251.png,"you have adhd?

 
   

a

LOE EL
sent you where you'll
n Peed",
09324.png,No text found.,
09268.png,"a i
nevergoesiwronge",
09187.png,"what's black
and
ASAT Ro

\

 

ory
ACT mE

answering tl thei iron _.",
09413.png,"’ INOS RATAN ALA

 

a” Sistencumsinsteatin,",
09283.png,"Alleoilenntiis Worltlideservelneln

qi",
09285.png,No text found.,
09385.png,"ae

MO ere Camere",
09357.png,"hes
ea

i ant realize you___
7 hej",
09162.png,Dlease Make them witte,
09241.png,fie (isimasher was meine,
09213.png,> are'the devil,
09273.png,"tt to Se a

 

whenshe's MELT ATE:
MMMOIS EER IS",
09284.png,"the Worthksmost
Pe te

  

MTEL)",
09321.png,TEC TUTTI,
09382.png,VOUNEIEENMUNGErSIKEHI,
09315.png,No text found.,
09247.png,"ATELY dleaths
ll

  
 
 

y

 

 

STONGUNMIOLENGE",
09176.png,No text found.,
09384.png,WHEMVOUITeMNUSHIN but you have oil & —,
